Disc,tag,model,Type,AntiFoul,DeployArea,deploy.t,rel.t,deploy.days,DeplLat,DeplLong,CL,Shell,t0,t0.type,t1,lat1,lon1,s.maj1,s.min1,angle1,driftT0,driftT,driftD,driftR,inv.driftB,driftD0,lat0,lon0,s.maj0_63,s.min0_63,angle0,s.maj0_95,s.min0_95,est.dist.km,est.bearing.deg,est.rate.kmd-1
276,202093,mrPAT,1,Y,3,7/9/2020 15:58,10/12/2020 23:59,95.81458333,56.78875000,-161.69636100,158,2,10/13/2020 11:31,FUA,10/13/2020 18:34,56.7483,-161.674,1648,122,97,7.066111111,6.99,2618.831749,374.6540414,-53.21824719,2647.347085,56.76253021,-161.7086691,2405.032352,555.4555044,98.83526682,4162.674206,961.3925977,3.010399973,194.4292256,0.031419016
240,202095,mrPAT,1,Y,2,7/7/2020 15:20,10/12/2020 23:59,97.975,57.29264600,-163.82773500,136,2,10/13/2020 14:44,FUA,10/13/2020 16:54,56.8778,-164.8398,604,154,94,2.169722222,1.425555556,1739.240826,1220.044227,33.12709399,2647.157071,56.8977347,-164.8159777,1405.002895,235.006947,81.94896472,2438.823784,407.9283637,74.10596853,234.0774811,0.756376305
213,202096,mrPAT,1,Y,1,7/5/2020 16:16,10/13/2020 0:00,99.87430556,55.86877200,-162.83468400,143,2,10/13/2020 13:15,FUA,10/13/2020 14:52,55.9043,-163.3107,1037,437,72,1.628333333,2.251388889,836.7532239,371.6609014,-13.81735334,605.1878345,55.90957817,-163.3130111,1315.81426,602.2647203,82.00242927,2277.435509,1042.410849,30.17042462,278.8476871,0.302083949
251,202097,mrPAT,1,Y,2,7/7/2020 22:14,10/13/2020 0:00,97.53472222,57.27425300,-163.74482100,169,2,10/13/2020 11:04,FUA,10/13/2020 15:31,56.8479,-163.7432,869,126,97,4.458333333,4.638611111,579.5019172,124.9300498,82.28375887,556.9798055,56.84857124,-163.7341546,1331.580817,381.0345392,91.68168996,2304.724557,659.5015848,47.33804473,179.2149418,0.485345564
218,202098,mrPAT,1,Y,1,7/5/2020 20:06,10/12/2020 23:59,99.58194444,55.84704800,-162.91696800,160,2,10/13/2020 10:04,FUA,10/13/2020 13:15,55.856,-163.5165,1846,333,113,3.183888889,3.025555556,822.0126226,271.6898128,-58.1690109,865.0301763,55.8600971,-163.5282368,2385.583879,935.3530137,104.7285469,4129.012431,1618.92619,38.17967995,272.4309307,0.383399623
224,202099,mrPAT,1,Y,1,7/5/2020 22:02,10/13/2020 0:00,99.49791667,55.88207400,-162.92008300,182,2,10/13/2020 9:59,FUA,10/13/2020 14:51,56.1977,-163.1483,615,144,67,4.881388889,5.275555556,1718.737512,325.7927044,-53.93443755,1590.320887,56.20610668,-163.1690141,772.2367225,226.0888056,68.13942471,1336.601515,391.3186608,39.20773969,336.8791202,0.394055886
229,202100,mrPAT,1,Y,2,7/7/2020 9:42,10/12/2020 23:59,98.03055556,57.18845900,-163.82103000,153,2,10/13/2020 10:26,FUA,10/14/2020 4:28,56.9066,-162.9298,1427,27,83,18.04666667,18.45833333,7460.290705,404.1692481,17.27509858,7293.907698,56.96913944,-162.8941882,1486.077822,281.0625237,82.7021494,2572.130812,486.4681826,61.08976947,113.1386232,0.623170695
245,202102,mrPAT,1,Y,2,7/7/2020 17:33,10/12/2020 23:59,100.7402778,57.32071200,-163.80884700,172,2,10/16/2020 11:19,FUA,10/18/2020 2:04,57.4642,-163.7654,546,123,113,38.76111111,41.25555556,26018.25765,630.6607025,-172.7398311,24445.10956,57.24611192,-163.8167505,2143.313996,400.4969663,96.32115692,3720.394577,695.1882666,8.308738691,183.2805903,0.082476829
207,202103,mrPAT,1,Y,1,7/5/2020 14:12,10/12/2020 23:59,100.0395833,55.89838200,-162.83492400,137,2,10/13/2020 15:09,FUA,10/13/2020 20:37,56.5709,-162.2078,929,73,105,5.479444444,4.761111111,4359.691378,915.6878041,26.03323379,5017.460451,56.61138235,-162.1719372,1136.787914,300.6171627,102.7035359,1967.573418,520.3137112,89.23290857,27.04264235,0.891976012
271,202104,mrPAT,1,Y,3,7/9/2020 13:40,10/12/2020 23:59,96.52708333,56.81480100,-161.72153000,139,2,10/14/2020 2:19,FUA,10/15/2020 7:46,56.7175,-161.4522,2880,68,88,29.46027778,27.36,13173.05693,481.4713792,-54.03328396,14184.28057,56.79227725,-161.6407124,3270.278544,355.1300837,84.73845968,5676.595489,616.4397937,5.520976123,116.9435396,0.057196135
255,202105,mrPAT,1,Y,3,7/9/2020 4:26,10/12/2020 23:59,96.31666667,56.88646100,-161.82439800,150,2,10/13/2020 12:02,FUA,10/13/2020 14:55,56.78,-162.0827,904,47,90,2.883611111,3.182222222,986.8321006,310.1078528,-80.92499501,894.2304501,56.78126577,-162.0971456,1849.759511,576.5287002,95.2405332,3201.597765,997.8664724,20.30033137,234.9301176,0.210766548
221,202106,mrPAT,1,N,1,7/5/2020 21:08,10/13/2020 0:00,100.3763889,55.86206100,-162.92151000,154,2,10/14/2020 6:10,FUA,10/14/2020 6:26,56.0421,-163.5943,405,100,59,0.281388889,0.176944444,122.6088657,692.9229457,-177.0901137,194.9808178,56.04035108,-163.5944588,1040.482086,341.6964677,79.22158928,1800.885521,591.4145275,46.349872,295.6015776,0.461760704
201,202107,mrPAT,1,N,1,7/5/2020 11:46,10/13/2020 0:00,99.96805556,55.95193700,-162.83698500,>135,2,10/13/2020 11:00,FUA,10/13/2020 13:14,55.9891,-163.3639,529,143,105,2.243055556,3.738055556,670.6804836,179.4196137,-96.65368977,402.4481612,55.98868102,-163.3703049,723.2485678,424.9018051,100.1386703,1251.811916,735.427855,33.43746521,277.2394802,0.3344815
211,202108,mrPAT,1,N,1,7/5/2020 15:54,10/12/2020 23:59,99.97777778,55.87253700,-162.83153800,162,2,10/13/2020 15:22,FUA,10/13/2020 17:04,55.9381,-163.8249,180,148,44,1.703611111,2.229166667,2318.40725,1040.033159,35.33557691,1771.812045,55.95108073,-163.8084965,460.0002272,187.7673001,73.1700202,796.1768492,324.9910946,61.50793081,278.5674418,0.615216023
